id,name,ranking,adm_rate,size,SAT_math,SAT_EBRW,ACT_composite,in_state_cost,out_state_cost,institution_type,grad_debt_median,completion_rate,state,majors
91,"University of Nevada, Reno",276,0.8803,17930,585,590,23,24492,39543,Public,19500,48.3,NV,"[""Accounting"", ""Agriculture, General"", ""Anthropology"", ""Art History, Criticism and Conservation"", ""Art/Art Studies, General"", ""Atmospheric Sciences and Meteorology, General"", ""Biochemistry"", ""Bioengineering and Biomedical Engineering"", ""Biology/Biological Sciences, General"", ""Biotechnology"", ""Business Administration and Management, General"", ""Business/Commerce, General"", ""Business/Managerial Economics"", ""Chemical Engineering"", ""Civil Engineering, General"", ""Computer Engineering, General"", ""Computer Science"", ""Computer and Information Sciences, General"", ""Criminology"", ""Dance, General"", ""Drama and Dramatics/Theatre Arts, General"", ""Education, Other"", ""Electrical and Electronics Engineering"", ""Elementary Education and Teaching"", ""Engineering Physics/Applied Physics"", ""English Language and Literature, General"", ""Environmental Science"", ""Environmental/Environmental Health Engineering"", ""Finance, General"", ""Forest Management/Forest Resources Management"", ""French Language and Literature"", ""General Studies"", ""Geography"", ""Geological/Geophysical Engineering""]"
90,"University of Nevada, Las Vegas",401,0.8107,24783,565,570,21,26665,42433,Public,18750,12.9,NV,"[""Accounting"", ""Acting"", ""African-American/Black Studies"", ""Anthropology"", ""Architecture"", ""Art History, Criticism and Conservation"", ""Art/Art Studies, General"", ""Asian Studies/Civilization"", ""Athletic Training/Trainer"", ""Biochemistry"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Chemistry, General"", ""Civil Engineering, General"", ""Computer Engineering, General"", ""Computer Science"", ""Construction Management"", ""Criminal Justice/Safety Studies"", ""Culinary Arts and Related Services, Other"", ""Dance, General"", ""Drama and Dramatics/Theatre Arts, General"", ""Early Childhood Education and Teaching"", ""Economics, General"", ""Education, General"", ""Electrical and Electronics Engineering"", ""Elementary Education and Teaching"", ""Engineering, General"", ""English Language and Literature, General"", ""Entrepreneurship/Entrepreneurial Studies"", ""Environmental Studies"", ""Film/Cinema/Video Studies"", ""Finance, General"", ""French Language and Literature"", ""Geology/Earth Science, General"", ""German Language and Literature"", ""Graphic Design"", ""Health Teacher Education"", ""Health/Health Care Administration/Management"", ""Health/Medical Physics"", ""History, General"", ""Hospitality Administration/Management, General"", ""Hospitality Administration/Management, Other""]"
89,University of Montana,600,0.6074,1397,570,591,24,21614,40478,Public,21912,24.8,MT,"[""Accounting"", ""African-American/Black Studies"", ""American Government and Politics (United States)"", ""American Indian/Native American Studies"", ""Anthropology"", ""Art/Art Studies, General"", ""Asian Studies/Civilization"", ""Astronomy"", ""Athletic Training/Trainer"", ""Audiology/Audiologist and Speech-Language Pathology/Pathologist"", ""Biochemistry"", ""Biology/Biological Sciences, General"", ""Business/Commerce, General"", ""Chemistry, General"", ""Cinematography and Film/Video Production"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Clinical Laboratory Science/Medical Technology/Technologist"", ""Clinical/Medical Laboratory Technician"", ""Computer Science"", ""Computer and Information Sciences, General"", ""Creative Writing"", ""Dance, General"", ""Drama and Dramatics/Theatre Arts, General"", ""East Asian Studies"", ""Economics, General"", ""Education, General"", ""Elementary Education and Teaching"", ""English Language and Literature, General"", ""Environmental Studies"", ""Finance, General"", ""Forest Management/Forest Resources Management"", ""Forestry, General"", ""Forestry, Other"", ""French Language and Literature"", ""Geography"", ""Geology/Earth Science, General""]"
88,University of Massachusetts Amherst,160,0.5758,23010,655,638,28,32872,52193,Public,23250,70.7,MA,"[""Accounting"", ""African-American/Black Studies"", ""Agroecology and Sustainable Agriculture"", ""Animal Sciences, General"", ""Anthropology"", ""Applied Economics"", ""Applied Horticulture/Horticulture Operations, General"", ""Architectural and Building Sciences/Technology"", ""Art History, Criticism and Conservation"", ""Astronomy"", ""Biochemistry and Molecular Biology"", ""Bioengineering and Biomedical Engineering"", ""Biological and Physical Sciences"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Business/Managerial Economics"", ""Chemical Engineering"", ""Chemistry, General"", ""Chinese Language and Literature"", ""Civil Engineering, General"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Communication Sciences and Disorders, General"", ""Communication, General"", ""Comparative Literature"", ""Computer Engineering, General"", ""Computer Science"", ""Dance, General"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""Education, General"", ""Electrical and Electronics Engineering"", ""English Language and Literature, General"", ""Environmental Design/Architecture"", ""Environmental Science"", ""Exercise Physiology"", ""Finance, General"", ""Fine/Studio Arts, General"", ""Food Science"", ""French Language and Literature"", ""General Studies"", ""Geography"", ""Geology/Earth Science, General"", ""German Studies""]"
87,University of Maine,600,0.9226,8836,570,584,24,25604,45914,Public,25500,40.1,ME,"[""Accounting"", ""Agroecology and Sustainable Agriculture"", ""Animal Sciences, General"", ""Anthropology"", ""Applied Horticulture/Horticulture Operations, General"", ""Art History, Criticism and Conservation"", ""Art Teacher Education"", ""Athletic Training/Trainer"", ""Biochemistry"", ""Bioengineering and Biomedical Engineering"", ""Biology Teacher Education"", ""Biology/Biological Sciences, General"", ""Botany/Plant Biology"", ""Business Administration and Management, General"", ""Chemical Engineering"", ""Chemistry Teacher Education"", ""Chemistry, General"", ""Civil Engineering Technology/Technician"", ""Civil Engineering, General"", ""Clinical Laboratory Science/Medical Technology/Technologist"", ""Communication Sciences and Disorders, General"", ""Communication, General"", ""Computer Engineering, General"", ""Computer Science"", ""Digital Communication and Media/Multimedia"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""Economics, Other"", ""Electrical and Electronics Engineering"", ""Electrical, Electronic and Communications Engineering Technology/Technician"", ""Elementary Education and Teaching"", ""Engineering Physics/Applied Physics"", ""English Language and Literature, General"", ""English/Language Arts Teacher Education"", ""Environmental Science"", ""Finance, General"", ""Fine/Studio Arts, General"", ""Food Science"", ""Foreign Language Teacher Education"", ""Forestry, General"", ""French Language Teacher Education""]"
86,University of Kentucky,323,0.9577,22078,590,599,26,30928,49248,Public,23102,44.2,KY,"[""Accounting"", ""Agricultural Economics"", ""Agricultural Engineering"", ""Agricultural Public Services, Other"", ""Agriculture, Agriculture Operations, and Related Sciences, Other"", ""Agronomy and Crop Science"", ""American/United States Studies/Civilization"", ""Animal Sciences, General"", ""Anthropology"", ""Apparel and Textiles, General"", ""Architecture"", ""Art History, Criticism and Conservation"", ""Art Teacher Education"", ""Arts, Entertainment, and Media Management, General"", ""Audiology/Audiologist and Speech-Language Pathology/Pathologist"", ""Biology/Biological Sciences, General"", ""Biotechnology"", ""Business/Commerce, General"", ""Business/Managerial Economics"", ""Chemical Engineering"", ""Chemistry, General"", ""Chinese Language and Literature"", ""Civil Engineering, General"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Clinical Laboratory Science/Medical Technology/Technologist"", ""Computer Engineering, General"", ""Computer and Information Sciences, General"", ""Dance, General"", ""Digital Arts"", ""Drama and Dramatics/Theatre Arts, General"", ""Early Childhood Education and Teaching"", ""Economics, General"", ""Electrical and Electronics Engineering"", ""Elementary Education and Teaching"", ""English Language and Literature, General"", ""Environmental Studies"", ""Ethnic, Cultural Minority, Gender, and Group Studies, Other"", ""Family and Consumer Sciences/Human Sciences, General"", ""Finance, General"", ""Financial Mathematics"", ""Fine/Studio Arts, General"", ""Food Science"", ""Foods, Nutrition, and Wellness Studies, General"", ""Forest Sciences and Biology"", ""French Language and Literature"", ""General Studies"", ""Geography"", ""Geology/Earth Science, General"", ""German Language and Literature"", ""Health Services/Allied Health/Health Sciences, General"", ""Health Teacher Education"", ""Health/Health Care Administration/Management""]"
85,University of Illinois at Chicago,81,0.7708,19106,-1,-1,24,27753,41445,Public,17400,29.9,IL,"[""Accounting"", ""African-American/Black Studies"", ""Anthropology"", ""Architecture"", ""Architecture and Related Services, Other"", ""Art History, Criticism and Conservation"", ""Art Teacher Education"", ""Biochemistry"", ""Bioengineering and Biomedical Engineering"", ""Biology Teacher Education"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Chemical Engineering"", ""Chemistry Teacher Education"", ""Chemistry, General"", ""Cinematography and Film/Video Production"", ""Civil Engineering, General"", ""Classical, Ancient Mediterranean and Near Eastern Studies and Archaeology"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Communication, General"", ""Computer Engineering, General"", ""Computer Science"", ""Criminal Justice/Safety Studies"", ""Design and Applied Arts, Other"", ""Dietetics/Dietitian"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""Electrical and Electronics Engineering"", ""Elementary Education and Teaching"", ""Engineering Physics/Applied Physics"", ""Engineering/Industrial Management"", ""English Language and Literature, General"", ""English/Language Arts Teacher Education"", ""Entrepreneurship/Entrepreneurial Studies"", ""Environmental Science"", ""Ethnic, Cultural Minority, Gender, and Group Studies, Other"", ""Film/Video and Photographic Arts, Other"", ""Finance, General"", ""Fine/Studio Arts, General"", ""French Language Teacher Education"", ""French Language and Literature"", ""Geology/Earth Science, General"", ""German Language Teacher Education""]"
84,University of Houston,364,0.6111,35985,610,605,25,26034,41694,Public,19000,29.6,TX,"[""Accounting"", ""Advertising"", ""African-American/Black Studies"", ""American Sign Language (ASL)"", ""Anthropology"", ""Architecture"", ""Art History, Criticism and Conservation"", ""Art/Art Studies, General"", ""Biochemistry"", ""Bioengineering and Biomedical Engineering"", ""Biology/Biological Sciences, General"", ""Biotechnology"", ""Business Administration and Management, General"", ""Business Family and Consumer Sciences/Human Sciences"", ""Business/Corporate Communications"", ""Chemical Engineering"", ""Chemistry, General"", ""Chinese Language and Literature"", ""Civil Engineering, General"", ""Communication Sciences and Disorders, General"", ""Computer Engineering Technology/Technician"", ""Computer Engineering, General"", ""Computer Graphics"", ""Computer Systems Analysis/Analyst"", ""Computer and Information Sciences, General"", ""Construction Engineering Technology/Technician"", ""Creative Writing"", ""Dance, General"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""Electrical and Electronics Engineering"", ""Electrical, Electronic and Communications Engineering Technology/Technician"", ""English Language and Literature, General"", ""Entrepreneurship/Entrepreneurial Studies"", ""Environmental Design/Architecture"", ""Environmental Science"", ""Ethnic, Cultural Minority, Gender, and Group Studies, Other"", ""Finance, General"", ""Foreign Languages and Literatures, General"", ""French Language and Literature"", ""Geology/Earth Science, General"", ""Geophysics and Seismology"", ""Graphic Design"", ""Health Communication""]"
83,University of Hartford,360,0.8089,4835,560,518,24,59249,59249,Private nonprofit,27000,46.1,CT,"[""Accounting"", ""Acting"", ""Architectural Engineering Technology/Technician"", ""Art History, Criticism and Conservation"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Ceramic Arts and Ceramics"", ""Chemistry, General"", ""Civil Engineering, General"", ""Clinical Laboratory Science/Medical Technology/Technologist"", ""Community Organization and Advocacy"", ""Computer Engineering Technology/Technician"", ""Computer Engineering, General"", ""Computer and Information Sciences, General"", ""Criminal Justice/Police Science"", ""Dance, General"", ""Design and Visual Communications, General"", ""Drawing"", ""Early Childhood Education and Teaching"", ""Economics, General"", ""Electrical and Electronics Engineering"", ""Electrical, Electronic and Communications Engineering Technology/Technician"", ""Elementary Education and Teaching"", ""Engineering Technologies and Engineering-Related Fields, Other"", ""Engineering Technology, General"", ""Engineering, General"", ""English Language and Literature, General"", ""Entrepreneurship/Entrepreneurial Studies"", ""Film/Cinema/Video Studies"", ""Finance, General"", ""Fine Arts and Art Studies, Other"", ""Foreign Languages and Literatures, General"", ""General Merchandising, Sales, and Related Marketing Operations, Other"", ""General Studies"", ""Graphic Design"", ""Health Professions and Related Clinical Sciences, Other"", ""Health Services/Allied Health/Health Sciences, General"", ""History, General"", ""Human Services, General"", ""Illustration""]"
82,University of Delaware,148,0.6289,18948,620,620,27,29342,49972,Public,24388,72.6,DE,"[""Accounting"", ""African-American/Black Studies"", ""Agribusiness/Agricultural Business Operations"", ""Agricultural Business and Management, General"", ""Agricultural Teacher Education"", ""Agriculture, General"", ""Animal Sciences, General"", ""Anthropology"", ""Apparel and Textiles, General"", ""Art History, Criticism and Conservation"", ""Art/Art Studies, General"", ""Asian Studies/Civilization"", ""Athletic Training/Trainer"", ""Bilingual and Multilingual Education"", ""Biochemistry"", ""Bioengineering and Biomedical Engineering"", ""Biology Teacher Education"", ""Biology/Biological Sciences, General"", ""Biometry/Biometrics"", ""Business/Commerce, General"", ""Chemical Engineering"", ""Chemistry Teacher Education"", ""Chemistry, General"", ""Civil Engineering, General"", ""Clinical Laboratory Science/Medical Technology/Technologist"", ""Cognitive Science"", ""Communication, General"", ""Comparative Literature"", ""Computer Engineering, General"", ""Computer Science"", ""Computer and Information Sciences, General"", ""Criminology"", ""Dietetics/Dietitian"", ""Early Childhood Education and Teaching"", ""Ecology"", ""Economics, General"", ""Economics, Other"", ""Electrical and Electronics Engineering"", ""Elementary Education and Teaching"", ""Engineering Technology, General"", ""Engineering, General"", ""Engineering, Other"", ""English Language and Literature, General"", ""English/Language Arts Teacher Education"", ""Entomology"", ""Environmental Science"", ""Environmental Studies"", ""Environmental/Environmental Health Engineering"", ""European Studies/Civilization"", ""Exercise Physiology"", ""Fashion/Apparel Design"", ""Finance, General"", ""Fine/Studio Arts, General"", ""Food Science"", ""Foods, Nutrition, and Wellness Studies, General"", ""Foreign Languages and Literatures, General"", ""Foreign Languages, Literatures, and Linguistics, Other"", ""French Language Teacher Education"", ""General Studies"", ""Geography"", ""Geography Teacher Education"", ""Geology/Earth Science, General"", ""German Language Teacher Education""]"
81,University of Central Florida,311,0.499,56366,620,630,28,22118,38217,Public,18750,43.6,FL,"[""Accounting"", ""Actuarial Science"", ""Advertising"", ""Aerospace, Aeronautical and Astronautical/Space Engineering"", ""Anthropology"", ""Architecture"", ""Art/Art Studies, General"", ""Arts, Entertainment, and Media Management, General"", ""Athletic Training/Trainer"", ""Audiology/Audiologist and Speech-Language Pathology/Pathologist"", ""Biology/Biological Sciences, General"", ""Biomedical Sciences, General"", ""Biotechnology"", ""Business Administration and Management, General"", ""Business/Commerce, General"", ""Business/Managerial Economics"", ""Chemistry, General"", ""Cinematography and Film/Video Production"", ""Civil Engineering, General"", ""Clinical Laboratory Science/Medical Technology/Technologist"", ""Computer Engineering, General"", ""Computer and Information Sciences, General"", ""Criminal Justice/Safety Studies"", ""Crisis/Emergency/Disaster Management"", ""Digital Arts"", ""Drama and Dramatics/Theatre Arts, General"", ""Early Childhood Education and Teaching"", ""Economics, General"", ""Electrical and Electronics Engineering"", ""Elementary Education and Teaching"", ""English Language and Literature, General"", ""Environmental Studies"", ""Environmental/Environmental Health Engineering"", ""Finance, General"", ""Fine/Studio Arts, General"", ""Forensic Science and Technology"", ""French Language and Literature"", ""General Studies"", ""Health Information/Medical Records Administration/Administrator"", ""Health Services/Allied Health/Health Sciences, General"", ""Health/Health Care Administration/Management"", ""History, General""]"
80,"University of California, Santa Cruz",251,0.5094,17577,655,620,27,37186,66178,Public,19000,49.1,CA,"[""Anthropology"", ""Art History, Criticism and Conservation"", ""Art/Art Studies, General"", ""Astrophysics"", ""Bioengineering and Biomedical Engineering"", ""Bioinformatics"", ""Biology/Biological Sciences, General"", ""Biomedical Sciences, General"", ""Business/Managerial Economics"", ""Cell/Cellular and Molecular Biology"", ""Chemistry, General"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Cognitive Science"", ""Community Organization and Advocacy"", ""Comparative Literature"", ""Computer Engineering, General"", ""Computer Engineering, Other"", ""Computer Science"", ""Computer/Information Technology Services Administration and Management, Other"", ""Drama and Dramatics/Theatre Arts, General"", ""Ecology"", ""Economics, General"", ""Electrical and Electronics Engineering"", ""Environmental Studies"", ""Ethnic Studies"", ""Film/Video and Photographic Arts, Other""]"
79,"University of California, Santa Barbara",71,0.3281,22181,690,-1,28,36685,65677,Public,15306,70.1,CA,"[""Actuarial Science"", ""African-American/Black Studies"", ""Anthropology"", ""Applied Mathematics, Other"", ""Area Studies, Other"", ""Art History, Criticism and Conservation"", ""Asian Studies/Civilization"", ""Asian-American Studies"", ""Biology/Biological Sciences, General"", ""Biopsychology"", ""Chemical Engineering"", ""Chemistry, General"", ""Chemistry, Other"", ""Chinese Language and Literature"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Communication, General"", ""Comparative Literature"", ""Computer Engineering, General"", ""Computer Science"", ""Dance, General"", ""Developmental Biology and Embryology"", ""Drama and Dramatics/Theatre Arts, General"", ""Ecology"", ""Econometrics and Quantitative Economics"", ""Economics, General"", ""Electrical and Electronics Engineering"", ""English Language and Literature, General"", ""Environmental Studies"", ""Experimental Psychology"", ""Film/Cinema/Video Studies"", ""Fine/Studio Arts, General"", ""French Language and Literature"", ""Geography"", ""Geology/Earth Science, General"", ""Geophysics and Seismology"", ""German Language and Literature"", ""Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies""]"
78,"University of California, Davis",36,0.4336,30046,660,620,28,35752,64744,Public,13000,60.8,CA,"[""Aerospace, Aeronautical and Astronautical/Space Engineering"", ""African-American/Black Studies"", ""Agricultural Business and Management, Other"", ""Agriculture, Agriculture Operations, and Related Sciences, Other"", ""American Indian/Native American Studies"", ""American/United States Studies/Civilization"", ""Animal Sciences, General"", ""Animal Sciences, Other"", ""Anthropology"", ""Apparel and Textiles, General"", ""Applied Mathematics, General"", ""Art History, Criticism and Conservation"", ""Asian-American Studies"", ""Atmospheric Sciences and Meteorology, General"", ""Bioengineering and Biomedical Engineering"", ""Biology/Biological Sciences, General"", ""Biotechnology"", ""Botany/Plant Biology"", ""Cell/Cellular Biology and Histology"", ""Chemical Engineering"", ""Chemistry, General"", ""Chinese Language and Literature"", ""City/Urban, Community and Regional Planning"", ""Civil Engineering, General"", ""Classical, Ancient Mediterranean and Near Eastern Studies and Archaeology"", ""Comparative Literature"", ""Computational Mathematics"", ""East Asian Studies"", ""Ecology, Evolution, Systematics and Population Biology, Other"", ""Economics, General"", ""Electrical and Electronics Engineering"", ""Engineering, Other"", ""English Language and Literature, General"", ""Entomology"", ""Environmental Studies"", ""Environmental Toxicology"", ""Exercise Physiology"", ""Film/Cinema/Video Studies"", ""Fine/Studio Arts, General"", ""Food Science"", ""French Language and Literature"", ""Genetics, General""]"
